loan_id,borrower_id,disbursement_date,loan_amount_kes,loan_term_months,interest_rate,product_type,loan_officer_id,disbursement_channel
LN200053,BOR100039,2026-04-14,34000.0,3,0.128,Working Capital,LO016,Mobile App
LN200054,BOR100040,2026-06-30,107000.0,3,0.189,Working Capital,LO017,Mobile App
LN200055,BOR100041,2026-08-01,66000.0,6,0.23,Working Capital,LO020,Mobile App
LN200056,BOR100042,2026-05-24,84000.0,6,0.148,Asset Finance,LO021,Partner Referral
LN200057,BOR100043,2025-07-06,44000.0,6,0.151,Invoice Discounting,LO022,Branch
LN200058,BOR100044,2025-04-09,20000.0,12,0.14,Asset Finance,LO012,Branch
LN200059,BOR100045,2025-08-20,112000.0,6,0.159,Working Capital,LO009,Partner Referral
LN200060,BOR100046,2025-03-05,407000.0,3,0.173,Working Capital,LO008,Mobile App
LN200061,BOR100047,2025-05-25,54000.0,12,0.144,Working Capital,LO004,Partner Referral
LN200062,BOR100048,2026-07-06,96000.0,6,0.221,Invoice Discounting,LO010,Mobile App
LN200063,BOR100049,2026-03-11,320000.0,3,0.186,Working Capital,LO001,Branch
LN200064,BOR100050,2025-12-12,102000.0,18,0.201,Working Capital,LO004,Mobile App
LN200065,BOR100051,2025-09-20,79000.0,3,0.225,Working Capital,LO022,Mobile App
LN200066,BOR100052,2025-06-24,20000.0,18,0.132,Working Capital,LO007,Partner Referral
LN200067,BOR100053,2025-04-11,95000.0,3,0.226,Asset Finance,LO002,Mobile App
LN200068,BOR100054,2025-03-27,49000.0,6,0.238,Invoice Discounting,LO015,Partner Referral
LN200069,BOR100055,2026-01-27,38000.0,6,0.206,Asset Finance,LO019,Partner Referral
LN200071,BOR100056,2025-02-10,98000.0,9,0.215,Working Capital,LO008,Branch
LN200072,BOR100057,2026-06-12,58000.0,12,0.189,Asset Finance,LO015,Mobile App
LN200073,BOR100058,2025-08-26,72000.0,12,0.187,Invoice Discounting,LO002,Mobile App
LN200074,BOR100059,2025-11-15,191000.0,3,0.154,Asset Finance,LO011,Branch
LN200075,BOR100060,2026-05-19,44000.0,12,0.128,Working Capital,LO006,Mobile App
LN200076,BOR100061,2025-11-12,233000.0,3,0.208,Asset Finance,LO017,Branch
LN200077,BOR100062,2026-01-07,33000.0,3,0.129,Working Capital,LO008,Mobile App
LN200078,BOR100063,2025-10-24,67000.0,3,0.167,Asset Finance,LO007,Branch
LN200079,BOR100064,2025-01-31,418000.0,3,0.13,Asset Finance,LO010,Mobile App
LN200080,BOR100064,2025-08-09,423000.0,6,0.163,Invoice Discounting,LO010,Mobile App
LN200081,BOR100065,2025-06-16,285000.0,3,0.17,Asset Finance,LO014,Branch
LN200082,BOR100065,2025-09-30,151000.0,9,0.227,Working Capital,LO004,Branch
LN200083,BOR100066,2026-07-15,112000.0,6,0.182,Invoice Discounting,LO016,Partner Referral
LN200085,BOR100067,2025-04-06,75000.0,6,0.165,Asset Finance,LO022,Branch
LN200086,BOR100068,2025-04-11,42000.0,3,0.212,Working Capital,LO003,Branch
LN200087,BOR100069,2026-05-31,137000.0,12,0.155,Working Capital,LO005,Partner Referral
LN200088,BOR100070,2025-03-13,50000.0,12,0.128,Working Capital,LO024,Branch
LN200089,BOR100070,2025-10-22,45000.0,12,0.194,Invoice Discounting,LO011,Branch
LN200090,BOR100071,2025-07-05,57000.0,3,0.219,Asset Finance,LO025,Partner Referral
LN200091,BOR100072,2026-07-18,44000.0,3,0.227,Asset Finance,LO003,Partner Referral
LN200092,BOR100073,2026-03-21,63000.0,12,0.153,Working Capital,LO017,Partner Referral
LN200093,BOR100073,2026-07-17,133000.0,3,0.194,Invoice Discounting,LO025,Partner Referral
LN200094,BOR100074,2026-01-22,49000.0,9,0.228,Asset Finance,LO010,Mobile App
LN200095,BOR100075,2026-01-29,109000.0,18,0.124,Invoice Discounting,LO019,Branch
LN200096,BOR100076,2025-08-10,103000.0,9,0.179,Working Capital,LO011,Mobile App
LN200097,BOR100076,2026-05-13,289000.0,9,0.176,Invoice Discounting,LO003,Mobile App
LN200098,BOR100077,2026-04-29,52000.0,9,0.225,Working Capital,LO016,Mobile App
LN200099,BOR100078,2025-07-06,92000.0,9,0.207,Working Capital,LO006,Mobile App
LN200100,BOR100079,2026-05-14,38000.0,12,0.209,Working Capital,LO025,Partner Referral
LN200102,BOR100080,2026-04-16,132000.0,12,0.136,Working Capital,LO005,Branch
LN200103,BOR100080,2026-07-07,128000.0,12,0.168,Working Capital,LO016,Mobile App
LN200104,BOR100081,2026-01-31,97000.0,6,0.205,Asset Finance,LO020,Partner Referral
LN200105,BOR100082,2025-07-15,340000.0,3,0.206,Working Capital,LO019,Branch
LN200106,BOR100083,2025-05-24,125000.0,6,0.204,Working Capital,LO008,Partner Referral
LN200107,BOR100083,2026-05-13,80000.0,6,0.202,Working Capital,LO019,Branch
LN200108,BOR100084,2025-05-24,31000.0,6,0.198,Asset Finance,LO016,Mobile App
LN200109,BOR100084,2026-07-07,24000.0,6,0.165,Working Capital,LO022,Mobile App
LN200110,BOR100085,2026-01-07,246000.0,12,0.146,Working Capital,LO015,Mobile App
LN200111,BOR100086,2026-01-29,39000.0,3,0.125,Invoice Discounting,LO025,Partner Referral
LN200113,BOR100087,2025-12-03,74000.0,6,0.124,Asset Finance,LO008,Branch
LN200114,BOR100088,2026-01-09,156000.0,12,0.135,Working Capital,LO006,Branch
LN200115,BOR100089,2025-04-23,40000.0,3,0.177,Working Capital,LO014,Mobile App
LN200116,BOR100090,2025-12-18,120000.0,6,0.214,Working Capital,LO018,Mobile App
LN200118,BOR100091,2025-08-13,27000.0,12,0.236,Working Capital,LO007,Branch
LN200119,BOR100092,2025-11-06,33000.0,12,0.221,Working Capital,LO022,Branch
LN200120,BOR100093,2025-04-30,86000.0,3,0.176,Working Capital,LO021,Partner Referral
LN200121,BOR100094,2025-03-20,105000.0,3,0.133,Working Capital,LO016,Branch
LN200122,BOR100095,2025-12-28,288000.0,12,0.224,Asset Finance,LO007,Mobile App
LN200123,BOR100096,2026-02-10,165000.0,6,0.14,Asset Finance,LO001,Partner Referral
LN200124,BOR100097,2026-01-08,223000.0,18,0.157,Working Capital,LO022,Mobile App
LN200125,BOR100097,2026-04-29,283000.0,3,0.199,Asset Finance,LO025,Branch
LN200126,BOR100098,2026-04-29,202000.0,12,0.152,Working Capital,LO005,Branch
LN200127,BOR100099,2025-02-02,45000.0,6,0.175,Asset Finance,LO021,Mobile App
LN200128,BOR100100,2025-01-27,126000.0,3,0.157,Working Capital,LO022,Mobile App
LN200129,BOR100101,2025-01-09,29000.0,9,0.213,Working Capital,LO004,Branch
LN200130,BOR100102,2025-06-15,60000.0,3,0.239,Working Capital,LO005,Mobile App
LN200131,BOR100102,2026-06-05,69000.0,3,0.18,Working Capital,LO019,Branch
LN200132,BOR100103,2025-12-20,27000.0,6,0.165,Asset Finance,LO009,Partner Referral
LN200134,BOR100104,2025-10-07,71000.0,18,0.189,Asset Finance,LO003,Branch
LN200135,BOR100105,2025-08-06,45000.0,12,0.134,Invoice Discounting,LO015,Mobile App
LN200136,BOR100105,2026-04-26,68000.0,9,0.214,Working Capital,LO002,Partner Referral
LN200137,BOR100106,2026-07-16,47000.0,9,0.127,Working Capital,LO018,Mobile App
LN200139,BOR100107,2026-04-21,63000.0,18,0.136,Invoice Discounting,LO017,Partner Referral
LN200141,BOR100108,2026-04-01,105000.0,18,0.164,Working Capital,LO004,Mobile App
LN200142,BOR100108,2026-07-18,263000.0,18,0.229,Working Capital,LO005,Mobile App
LN200143,BOR100109,2025-06-14,70000.0,3,0.24,Working Capital,LO020,Mobile App
LN200144,BOR100110,2025-11-02,708000.0,6,0.172,Working Capital,LO004,Partner Referral
LN200145,BOR100111,2025-11-12,39000.0,3,0.188,Working Capital,LO006,Partner Referral
LN200146,BOR100112,2026-04-13,91000.0,3,0.16,Working Capital,LO024,Mobile App
LN200147,BOR100113,2026-05-18,61000.0,3,0.126,Working Capital,LO011,Mobile App
LN200148,BOR100114,2025-01-08,268000.0,9,0.128,Working Capital,LO003,Mobile App
LN200149,BOR100114,2025-10-10,160000.0,3,0.216,Asset Finance,LO001,Mobile App
LN200150,BOR100115,2026-05-07,112000.0,3,0.194,Asset Finance,LO009,Branch
LN200151,BOR100116,2026-02-24,143000.0,6,0.137,Working Capital,LO010,Branch
LN200153,BOR100117,2025-04-25,61000.0,6,0.238,Invoice Discounting,LO001,Mobile App
LN200154,BOR100117,2026-07-08,27000.0,6,0.234,Working Capital,LO016,Mobile App
LN200155,BOR100118,2025-10-01,42000.0,12,0.127,Working Capital,LO010,Mobile App
LN200156,BOR100118,2026-05-24,88000.0,3,0.149,Working Capital,LO025,Branch
LN200157,BOR100119,2025-01-04,58000.0,9,0.152,Working Capital,LO007,Mobile App
LN200158,BOR100120,2025-07-10,256000.0,3,0.143,Working Capital,LO019,Mobile App
LN200159,BOR100120,2026-02-22,369000.0,9,0.159,Asset Finance,LO017,Partner Referral
LN200161,BOR100121,2026-02-28,126000.0,6,0.171,Asset Finance,LO006,Mobile App
LN200162,BOR100121,2026-06-24,216000.0,18,0.187,Working Capital,LO002,Mobile App
LN200163,BOR100122,2025-06-11,100000.0,9,0.161,Asset Finance,LO023,Branch
LN200164,BOR100123,2025-08-17,20000.0,6,0.239,Working Capital,LO011,Branch
LN200165,BOR100123,2026-04-06,20000.0,6,0.183,Working Capital,LO010,Branch
LN200167,BOR100124,2025-02-21,57000.0,6,0.193,Asset Finance,LO019,Partner Referral
LN200168,BOR100125,2026-05-23,143000.0,3,0.215,Working Capital,LO005,Mobile App
LN200169,BOR100126,2026-07-12,248000.0,6,0.142,Working Capital,LO025,Mobile App
LN200170,BOR100127,2025-08-12,308000.0,3,0.124,Working Capital,LO010,Branch
LN200171,BOR100128,2025-12-31,34000.0,3,0.203,Working Capital,LO015,Mobile App
LN200172,BOR100129,2025-08-23,68000.0,9,0.181,Working Capital,LO012,Mobile App
LN200173,BOR100130,2025-03-31,304000.0,6,0.179,Working Capital,LO008,Partner Referral
LN200174,BOR100131,2025-09-11,37000.0,6,0.221,Working Capital,LO009,Branch
LN200175,BOR100132,2025-01-13,57000.0,12,0.131,Working Capital,LO005,Partner Referral
LN200176,BOR100133,2025-07-24,75000.0,12,0.172,Working Capital,LO016,Mobile App
LN200177,BOR100133,2026-07-10,61000.0,9,0.178,Invoice Discounting,LO018,Partner Referral
LN200179,BOR100134,2026-01-16,114000.0,6,0.129,Asset Finance,LO002,Partner Referral
LN200180,BOR100135,2025-04-08,30000.0,3,0.123,Working Capital,LO001,Mobile App
LN200181,BOR100136,2026-01-19,35000.0,9,0.212,Asset Finance,LO006,Mobile App
LN200183,BOR100137,2025-08-14,79000.0,9,0.236,Invoice Discounting,LO007,Partner Referral
LN200184,BOR100138,2025-07-13,144000.0,12,0.136,Invoice Discounting,LO003,Partner Referral
LN200185,BOR100138,2026-07-21,56000.0,18,0.18,Working Capital,LO017,Branch
LN200186,BOR100139,2025-07-15,96000.0,9,0.162,Working Capital,LO019,Branch
LN200187,BOR100140,2025-07-07,90000.0,3,0.181,Invoice Discounting,LO022,Branch
LN200188,BOR100141,2026-05-25,81000.0,3,0.224,Asset Finance,LO013,Mobile App
LN200190,BOR100142,2025-12-12,118000.0,9,0.15,Invoice Discounting,LO012,Partner Referral
LN200191,BOR100143,2025-09-10,68000.0,9,0.171,Working Capital,LO015,Mobile App
LN200192,BOR100144,2025-07-14,110000.0,12,0.174,Invoice Discounting,LO011,Branch
LN200193,BOR100144,2026-07-23,92000.0,6,0.213,Asset Finance,LO024,Partner Referral
LN200194,BOR100145,2025-08-15,83000.0,6,0.233,Working Capital,LO011,Branch
LN200195,BOR100145,2026-05-19,108000.0,9,0.135,Working Capital,LO024,Mobile App
LN200196,BOR100146,2026-05-18,32000.0,9,0.226,Working Capital,LO007,Partner Referral
LN200197,BOR100147,2025-01-30,102000.0,3,0.225,Working Capital,LO007,Mobile App
LN200198,BOR100147,2026-01-01,182000.0,9,0.141,Invoice Discounting,LO018,Partner Referral
LN200199,BOR100148,2025-03-24,54000.0,3,0.195,Invoice Discounting,LO004,Mobile App
LN200200,BOR100149,2025-08-07,57000.0,12,0.187,Asset Finance,LO016,Partner Referral
LN200201,BOR100150,2025-07-01,119000.0,6,0.207,Working Capital,LO006,Partner Referral
LN200202,BOR100151,2025-09-21,33000.0,3,0.172,Working Capital,LO017,Partner Referral
LN200203,BOR100152,2026-06-23,37000.0,3,0.203,Working Capital,LO004,Mobile App
LN200204,BOR100153,2026-02-06,48000.0,3,0.134,Asset Finance,LO017,Mobile App
LN200205,BOR100154,2026-06-20,50000.0,6,0.23,Working Capital,LO004,Branch
LN200206,BOR100155,2025-03-11,122000.0,12,0.179,Working Capital,LO013,Partner Referral
LN200207,BOR100156,2026-04-08,89000.0,3,0.176,Working Capital,LO021,Branch
LN200209,BOR100157,2026-03-16,112000.0,6,0.2,Working Capital,LO025,Mobile App
LN200210,BOR100158,2026-03-08,124000.0,9,0.209,Working Capital,LO009,Mobile App
LN200212,BOR100159,2025-08-24,218000.0,9,0.224,Working Capital,LO022,Mobile App
LN200213,BOR100160,2026-03-19,35000.0,3,0.215,Asset Finance,LO025,Mobile App
LN200214,BOR100161,2025-09-02,33000.0,6,0.208,Asset Finance,LO009,Partner Referral
LN200215,BOR100162,2026-06-10,274000.0,3,0.151,Asset Finance,LO007,Branch
LN200217,BOR100163,2026-05-06,215000.0,3,0.177,Invoice Discounting,LO005,Branch
LN200218,BOR100164,2025-08-05,229000.0,9,0.213,Working Capital,LO005,Partner Referral
LN200219,BOR100164,2025-12-23,211000.0,9,0.138,Asset Finance,LO002,Mobile App
LN200220,BOR100165,2025-04-29,63000.0,9,0.145,Working Capital,LO004,Mobile App
LN200221,BOR100165,2026-07-20,34000.0,3,0.161,Working Capital,LO004,Mobile App
LN200222,BOR100166,2026-08-01,113000.0,3,0.239,Working Capital,LO008,Mobile App
LN200223,BOR100167,2026-02-12,200000.0,3,0.181,Working Capital,LO024,Partner Referral
LN200224,BOR100168,2026-03-06,205000.0,6,0.221,Invoice Discounting,LO025,Branch
LN200225,BOR100169,2025-01-21,36000.0,12,0.221,Working Capital,LO024,Mobile App
LN200226,BOR100169,2025-06-11,79000.0,3,0.148,Invoice Discounting,LO010,Mobile App
LN200227,BOR100170,2025-03-05,104000.0,6,0.189,Invoice Discounting,LO003,Branch
LN200228,BOR100171,2026-03-12,197000.0,6,0.193,Asset Finance,LO023,Mobile App
LN200229,BOR100172,2025-04-25,162000.0,18,0.218,Asset Finance,LO012,Branch
LN200230,BOR100173,2025-05-19,20000.0,6,0.236,Working Capital,LO005,Partner Referral
LN200231,BOR100173,2026-02-26,42000.0,9,0.216,Working Capital,LO025,Mobile App
LN200232,BOR100174,2026-08-01,114000.0,3,0.122,Working Capital,LO022,Mobile App
LN200233,BOR100175,2025-03-08,216000.0,3,0.147,Asset Finance,LO014,Mobile App
LN200234,BOR100176,2025-03-04,54000.0,6,0.238,Working Capital,LO019,Mobile App
LN200235,BOR100176,2025-08-11,146000.0,6,0.153,Working Capital,LO022,Mobile App
LN200236,BOR100177,2025-12-23,127000.0,9,0.144,Invoice Discounting,LO001,Branch
LN200237,BOR100178,2025-12-18,113000.0,9,0.152,Invoice Discounting,LO002,Mobile App
LN200238,BOR100179,2025-07-08,389000.0,3,0.145,Working Capital,LO020,Mobile App
LN200239,BOR100179,2026-05-20,112000.0,3,0.23,Working Capital,LO005,Branch
LN200240,BOR100180,2025-06-29,54000.0,6,0.165,Asset Finance,LO004,Partner Referral
LN200241,BOR100180,2026-04-17,78000.0,6,0.136,Working Capital,LO020,Partner Referral
LN200243,BOR100181,2025-05-28,40000.0,6,0.221,Invoice Discounting,LO001,Mobile App
LN200244,BOR100181,2026-04-13,36000.0,9,0.172,Working Capital,LO013,Partner Referral
LN200245,BOR100182,2025-02-28,111000.0,12,0.219,Asset Finance,LO012,Mobile App
LN200246,BOR100183,2025-01-16,177000.0,9,0.174,Invoice Discounting,LO024,Mobile App
LN200247,BOR100184,2026-05-25,28000.0,6,0.135,Working Capital,LO021,Branch
LN200249,BOR100185,2025-11-18,21000.0,18,0.175,Asset Finance,LO023,Mobile App
LN200250,BOR100186,2025-10-13,20000.0,3,0.223,Asset Finance,LO023,Branch
LN200251,BOR100187,2025-06-29,144000.0,9,0.195,Invoice Discounting,LO010,Mobile App
LN200252,BOR100188,2025-09-17,41000.0,3,0.167,Working Capital,LO009,Mobile App
LN200253,BOR100189,2025-01-20,80000.0,12,0.222,Asset Finance,LO006,Mobile App
LN200254,BOR100189,2026-03-17,103000.0,9,0.16,Working Capital,LO025,Branch
LN200255,BOR100190,2025-06-26,78000.0,3,0.193,Working Capital,LO002,Branch
LN200256,BOR100191,2025-03-06,85000.0,6,0.229,Working Capital,LO018,Mobile App
LN200257,BOR100192,2025-07-29,79000.0,6,0.125,Invoice Discounting,LO020,Branch
LN200258,BOR100193,2026-07-09,114000.0,9,0.177,Working Capital,LO017,Partner Referral
LN200260,BOR100194,2025-08-15,253000.0,6,0.182,Asset Finance,LO014,Mobile App
LN200261,BOR100195,2025-08-11,117000.0,9,0.166,Working Capital,LO015,Mobile App
LN200262,BOR100196,2025-12-23,78000.0,6,0.211,Working Capital,LO007,Mobile App
LN200263,BOR100197,2026-05-05,102000.0,9,0.187,Asset Finance,LO013,Mobile App
LN200264,BOR100198,2026-03-23,247000.0,6,0.179,Working Capital,LO022,Partner Referral
LN200265,BOR100199,2025-08-08,118000.0,18,0.215,Working Capital,LO020,Mobile App
LN200266,BOR100199,2025-11-27,80000.0,6,0.196,Working Capital,LO009,Mobile App
LN200267,BOR100200,2025-01-15,37000.0,18,0.124,Asset Finance,LO025,Branch
LN200268,BOR100201,2026-03-02,204000.0,9,0.179,Invoice Discounting,LO001,Branch
LN200269,BOR100202,2026-04-03,20000.0,3,0.196,Working Capital,LO025,Partner Referral
LN200270,BOR100203,2026-02-24,212000.0,9,0.192,Invoice Discounting,LO018,Mobile App
LN200272,BOR100204,2025-05-09,328000.0,18,0.165,Working Capital,LO015,Mobile App
LN200273,BOR100205,2026-02-14,95000.0,3,0.146,Working Capital,LO006,Mobile App
LN200274,BOR100206,2025-03-06,114000.0,6,0.163,Working Capital,LO008,Mobile App
LN200275,BOR100206,2026-01-25,119000.0,9,0.173,Asset Finance,LO017,Mobile App
LN200276,BOR100207,2025-08-31,104000.0,6,0.133,Working Capital,LO013,Mobile App
LN200277,BOR100208,2025-10-06,250000.0,18,0.171,Invoice Discounting,LO010,Mobile App
LN200278,BOR100209,2025-09-12,34000.0,6,0.145,Asset Finance,LO016,Mobile App
LN200279,BOR100210,2026-04-27,182000.0,9,0.163,Working Capital,LO024,Branch
LN200280,BOR100211,2026-05-01,238000.0,12,0.217,Working Capital,LO008,Partner Referral
LN200281,BOR100212,2025-09-10,87000.0,9,0.21,Asset Finance,LO019,Partner Referral
LN200282,BOR100213,2025-01-27,84000.0,9,0.215,Working Capital,LO017,Mobile App
LN200283,BOR100214,2025-11-15,65000.0,6,0.157,Working Capital,LO009,Partner Referral
LN200284,BOR100215,2025-08-28,55000.0,9,0.205,Asset Finance,LO019,Partner Referral
LN200285,BOR100216,2026-01-09,27000.0,9,0.186,Working Capital,LO002,Branch
LN200286,BOR100217,2026-03-23,209000.0,9,0.227,Asset Finance,LO020,Branch
LN200287,BOR100218,2025-08-08,340000.0,9,0.155,Asset Finance,LO003,Branch
LN200288,BOR100218,2026-02-08,207000.0,6,0.189,Invoice Discounting,LO011,Mobile App
LN200289,BOR100218,2026-07-29,393000.0,3,0.188,Working Capital,LO015,Branch
LN200290,BOR100219,2026-02-11,108000.0,9,0.218,Invoice Discounting,LO007,Mobile App
LN200291,BOR100220,2025-01-02,23000.0,18,0.212,Invoice Discounting,LO018,Mobile App
LN200292,BOR100220,2026-03-28,20000.0,3,0.127,Asset Finance,LO024,Mobile App
LN200293,BOR100221,2025-03-15,234000.0,12,0.208,Working Capital,LO014,Partner Referral
LN200294,BOR100221,2026-02-02,184000.0,12,0.183,Asset Finance,LO019,Partner Referral
LN200295,BOR100222,2026-04-29,277000.0,3,0.129,Working Capital,LO021,Partner Referral
LN200296,BOR100223,2025-08-17,61000.0,18,0.123,Working Capital,LO018,Mobile App
LN200297,BOR100224,2025-10-23,104000.0,6,0.132,Invoice Discounting,LO025,Branch
LN200298,BOR100225,2025-02-16,20000.0,12,0.147,Asset Finance,LO007,Mobile App
LN200299,BOR100226,2025-11-04,155000.0,3,0.226,Asset Finance,LO005,Partner Referral
LN200300,BOR100227,2025-01-12,74000.0,3,0.235,Working Capital,LO005,Mobile App
LN200301,BOR100228,2025-08-29,74000.0,18,0.164,Working Capital,LO013,Mobile App
LN200302,BOR100229,2025-02-13,37000.0,3,0.169,Invoice Discounting,LO010,Mobile App
LN200303,BOR100230,2025-02-10,201000.0,6,0.206,Working Capital,LO007,Partner Referral
LN200304,BOR100231,2025-01-09,152000.0,3,0.184,Asset Finance,LO018,Branch
LN200305,BOR100232,2026-04-16,90000.0,3,0.217,Invoice Discounting,LO006,Partner Referral
LN200306,BOR100233,2026-05-25,58000.0,12,0.153,Asset Finance,LO006,Mobile App
LN200308,BOR100234,2025-07-09,29000.0,12,0.201,Asset Finance,LO001,Mobile App
LN200309,BOR100235,2025-06-02,65000.0,3,0.151,Working Capital,LO021,Mobile App
LN200310,BOR100236,2025-11-27,71000.0,9,0.16,Working Capital,LO011,Partner Referral
LN200311,BOR100237,2025-03-27,46000.0,6,0.228,Asset Finance,LO015,Branch
LN200312,BOR100238,2025-08-10,51000.0,6,0.235,Asset Finance,LO015,Mobile App
LN200313,BOR100239,2026-05-17,104000.0,6,0.157,Working Capital,LO025,Branch
LN200315,BOR100240,2026-07-24,25000.0,9,0.148,Working Capital,LO011,Branch
LN200316,BOR100241,2025-12-15,33000.0,12,0.222,Asset Finance,LO011,Branch
LN200317,BOR100242,2025-07-22,224000.0,9,0.208,Asset Finance,LO020,Partner Referral
LN200318,BOR100243,2026-06-10,237000.0,12,0.143,Asset Finance,LO021,Mobile App
LN200319,BOR100244,2025-07-23,139000.0,12,0.17,Asset Finance,LO012,Branch
LN200320,BOR100245,2025-10-11,161000.0,6,0.208,Working Capital,LO014,Branch
LN200321,BOR100246,2025-03-22,67000.0,18,0.159,Working Capital,LO001,Mobile App
LN200322,BOR100247,2025-08-11,89000.0,3,0.151,Working Capital,LO018,Mobile App
LN200323,BOR100248,2025-11-22,117000.0,6,0.179,Working Capital,LO017,Branch
LN200324,BOR100249,2025-12-22,88000.0,9,0.165,Invoice Discounting,LO004,Mobile App
LN200325,BOR100249,2026-07-28,62000.0,9,0.185,Invoice Discounting,LO002,Mobile App
LN200327,BOR100250,2025-11-29,151000.0,9,0.218,Asset Finance,LO013,Mobile App
LN200328,BOR100251,2026-06-03,37000.0,3,0.144,Working Capital,LO018,Branch
LN200329,BOR100252,2025-10-23,109000.0,3,0.143,Working Capital,LO017,Partner Referral
LN200330,BOR100253,2025-02-25,165000.0,6,0.214,Working Capital,LO006,Mobile App
LN200331,BOR100254,2026-04-21,20000.0,9,0.204,Invoice Discounting,LO013,Partner Referral
LN200332,BOR100255,2026-02-10,309000.0,3,0.192,Invoice Discounting,LO025,Branch
LN200333,BOR100256,2025-06-19,20000.0,6,0.174,Asset Finance,LO022,Partner Referral
LN200334,BOR100257,2025-07-23,68000.0,12,0.123,Invoice Discounting,LO002,Branch
LN200335,BOR100257,2025-11-02,97000.0,9,0.163,Working Capital,LO007,Partner Referral
