borrower_id,sector,region,registration_date,business_age_months,monthly_revenue_kes,num_employees,gender_of_owner,bureau_score
BOR100042,Transport & Logistics,Rural - Other,2015-03-17,78,51800.0,21,Female,585
BOR100043,Manufacturing,Nairobi,2017-08-19,16,80700.0,9,Female,451
BOR100044,Retail & Trade,Kisumu,2020-04-21,46,15000.0,5,Male,505
BOR100045,Construction,Mombasa,2024-02-02,26,86300.0,4,Male,676
BOR100046,Manufacturing,Kisumu,2019-04-05,74,277100.0,5,Male,596
BOR100047,Construction,Nairobi,2018-05-03,105,53200.0,11,Female,571
BOR100048,Transport & Logistics,Nairobi,2021-06-07,140,87700.0,3,Female,533
BOR100049,Transport & Logistics,Nairobi,2015-11-02,58,149900.0,10,Male,580
BOR100050,Transport & Logistics,Mombasa,2017-08-18,125,65200.0,21,Female,627
BOR100051,Agriculture,Kisumu,2015-06-05,33,48700.0,19,Male,688
BOR100052,Manufacturing,Nakuru,2021-02-17,113,15000.0,16,Male,364
BOR100053,Manufacturing,Nakuru,2020-03-03,82,114500.0,22,Female,525
BOR100054,Manufacturing,Mombasa,2021-10-18,110,67600.0,19,Male,614
BOR100055,Retail & Trade,Mombasa,2022-03-14,110,36000.0,16,Male,591
BOR100056,Services,Nairobi,2019-08-11,78,79900.0,21,Female,636
BOR100057,Retail & Trade,Nakuru,2025-02-19,39,48600.0,3,Male,624
BOR100058,Transport & Logistics,Mombasa,2025-09-17,77,50500.0,20,Male,573
BOR100059,Transport & Logistics,Nairobi,2016-04-17,120,111800.0,8,Female,553
BOR100060,Construction,Mombasa,2025-09-25,140,28700.0,18,Male,578
BOR100061,Transport & Logistics,Kisumu,2017-04-18,134,152200.0,22,Female,703
BOR100062,Manufacturing,Nairobi,2017-11-24,28,27500.0,12,Male,534
BOR100063,Construction,Nakuru,2021-03-07,87,46000.0,3,Male,594
BOR100064,Manufacturing,Nakuru,2015-05-06,17,281000.0,9,Male,617
BOR100065,Agriculture,Eldoret,2019-04-01,97,161000.0,10,Female,740
BOR100066,Construction,Nakuru,2017-04-09,143,78300.0,23,Male,573
BOR100067,Manufacturing,Nakuru,2020-08-18,10,37900.0,23,Female,686
BOR100068,Retail & Trade,Mombasa,2024-07-03,96,50500.0,14,Female,711
BOR100069,Manufacturing,Rural - Other,2025-10-12,137,77000.0,23,Female,594
BOR100070,Transport & Logistics,Nakuru,2017-06-23,123,75100.0,11,Male,581
BOR100071,Agriculture,Kisumu,2021-05-10,58,68600.0,10,Female,570
BOR100072,Manufacturing,Nakuru,2020-07-14,17,71600.0,21,Female,577
BOR100073,Retail & Trade,Mombasa,2019-11-04,134,62900.0,17,Male,677
BOR100074,Transport & Logistics,Kisumu,2022-05-19,133,26700.0,13,Female,621
BOR100075,Manufacturing,Eldoret,2026-07-18,85,50900.0,11,Female,621
BOR100076,Agriculture,Rural - Other,2019-09-23,142,138700.0,17,Female,499
BOR100077,Agriculture,Rural - Other,2015-10-05,3,28100.0,19,Female,513
BOR100078,Services,Kisumu,2025-09-07,90,64000.0,12,Male,793
BOR100079,Transport & Logistics,Kisumu,2025-11-15,8,41200.0,1,Female,584
BOR100080,Construction,Rural - Other,2018-10-05,135,79100.0,3,Female,530
BOR100081,Manufacturing,Mombasa,2020-11-07,99,55700.0,4,Male,729
BOR100082,Retail & Trade,Rural - Other,2025-01-23,132,205700.0,12,Male,625
BOR100083,Transport & Logistics,Kisumu,2020-11-16,82,104300.0,15,Male,652
BOR100084,Services,Nairobi,2020-08-12,14,29200.0,20,Male,588
BOR100085,Transport & Logistics,Nairobi,2025-10-03,6,117000.0,6,Male,571
BOR100086,Retail & Trade,Rural - Other,2024-09-01,50,42500.0,19,Female,585
BOR100087,Agriculture,Nairobi,2020-12-01,108,48800.0,16,Male,476
BOR100088,Transport & Logistics,Mombasa,2016-11-19,24,91100.0,2,Male,592
BOR100089,Transport & Logistics,Mombasa,2020-02-12,124,51800.0,9,Female,627
BOR100090,Manufacturing,Nairobi,2022-11-22,37,136600.0,8,Female,767
BOR100091,Transport & Logistics,Mombasa,2018-03-07,73,42500.0,22,Female,608
BOR100092,Construction,Eldoret,2021-04-08,31,47400.0,23,Male,390
BOR100093,Manufacturing,Nairobi,2022-09-08,69,46200.0,20,Male,592
BOR100094,Construction,Rural - Other,2015-12-29,67,49200.0,13,Male,847
BOR100095,Agriculture,Rural - Other,2021-08-24,3,157900.0,12,Female,678
BOR100096,Agriculture,Mombasa,2023-08-09,83,113600.0,8,Female,527
BOR100097,Transport & Logistics,Nairobi,2017-07-02,114,242100.0,19,Female,653
BOR100098,Services,Nakuru,2021-05-25,135,357700.0,3,Male,533
BOR100099,Retail & Trade,Nairobi,2023-04-11,49,35500.0,7,Male,478
BOR100100,Transport & Logistics,Mombasa,2015-07-08,128,76800.0,4,Male,569
BOR100101,Agriculture,Rural - Other,2022-07-07,127,32100.0,12,Male,608
BOR100102,Transport & Logistics,Rural - Other,2018-01-11,143,42400.0,8,Male,432
BOR100103,Retail & Trade,Rural - Other,2019-08-21,55,47000.0,5,Male,497
BOR100104,Transport & Logistics,Mombasa,2022-07-24,123,34900.0,10,Female,601
BOR100105,Transport & Logistics,Eldoret,2015-01-19,83,35000.0,21,Female,563
BOR100106,Transport & Logistics,Eldoret,2015-03-13,11,66100.0,14,Female,636
BOR100107,Services,Mombasa,2020-03-17,41,31200.0,20,Female,491
BOR100108,Manufacturing,Nakuru,2026-01-29,98,131900.0,22,Female,664
BOR100109,Transport & Logistics,Nairobi,2015-01-26,25,38500.0,22,Female,493
BOR100110,Agriculture,Nairobi,2024-03-15,64,522700.0,9,Male,748
BOR100111,Transport & Logistics,Kisumu,2015-11-16,113,53300.0,22,Female,446
BOR100112,Services,Nairobi,2020-09-14,24,76900.0,22,Male,502
BOR100113,Manufacturing,Nairobi,2020-01-09,73,29500.0,24,Male,638
BOR100114,Services,Rural - Other,2020-06-17,33,241400.0,9,Male,750
BOR100115,Services,Rural - Other,2015-12-16,79,160100.0,6,Male,628
BOR100116,Retail & Trade,Nakuru,2023-10-16,37,90000.0,15,Female,651
BOR100117,Retail & Trade,Rural - Other,2018-03-20,140,28500.0,23,Male,602
BOR100118,Agriculture,Rural - Other,2023-12-30,13,84800.0,22,Female,508
BOR100119,Retail & Trade,Nairobi,2022-08-25,139,33400.0,14,Male,556
BOR100120,Manufacturing,Kisumu,2021-06-07,115,203500.0,4,Female,491
BOR100121,Transport & Logistics,Mombasa,2018-08-08,124,128900.0,11,Female,485
BOR100122,Services,Nairobi,2022-08-11,123,78200.0,18,Male,636
BOR100123,Manufacturing,Eldoret,2026-08-21,29,15000.0,14,Male,499
BOR100124,Construction,Kisumu,2025-10-08,135,36700.0,9,Female,629
BOR100125,Services,Kisumu,2025-09-09,87,118400.0,9,Male,483
BOR100126,Retail & Trade,Nairobi,2017-07-25,139,170900.0,2,Female,627
BOR100127,Transport & Logistics,Nairobi,2021-10-30,127,159000.0,7,Male,556
BOR100128,Services,Rural - Other,2019-08-23,85,24000.0,17,Female,727
BOR100129,Services,Nairobi,2026-04-13,56,90300.0,6,Female,629
BOR100130,Services,Nairobi,2026-01-31,19,148900.0,24,Female,711
BOR100131,Services,Mombasa,2025-02-15,17,22900.0,2,Female,532
BOR100132,Retail & Trade,Kisumu,2016-11-24,58,72700.0,15,Female,605
BOR100133,Services,Nakuru,2018-09-20,118,88600.0,12,Female,512
BOR100134,Transport & Logistics,Kisumu,2023-04-19,74,59200.0,20,Female,563
BOR100135,Agriculture,Nairobi,2023-09-30,71,20000.0,22,Female,576
BOR100136,Services,Nairobi,2019-02-01,37,58200.0,14,Male,535
BOR100137,Retail & Trade,Rural - Other,2016-08-06,83,58200.0,16,Female,491
BOR100138,Manufacturing,Nakuru,2016-08-06,93,65900.0,17,Male,473
BOR100139,Manufacturing,Nakuru,2022-12-26,142,49300.0,13,Male,389
BOR100140,Construction,Eldoret,2020-04-19,106,53600.0,5,Female,505
BOR100141,Agriculture,Rural - Other,2020-09-23,89,71100.0,11,Male,656
BOR100142,Agriculture,Nairobi,2024-07-06,132,99700.0,6,Female,456
BOR100143,Manufacturing,Mombasa,2015-03-13,63,59100.0,12,Female,477
BOR100144,Construction,Kisumu,2023-10-21,135,54900.0,15,Male,761
BOR100145,Construction,Mombasa,2018-03-14,55,78000.0,6,Male,543
BOR100146,Retail & Trade,Rural - Other,2025-11-11,21,19100.0,6,Male,629
BOR100147,Agriculture,Kisumu,2026-02-22,62,102100.0,20,Female,658
BOR100148,Transport & Logistics,Rural - Other,2020-11-09,21,73100.0,10,Male,660
BOR100149,Retail & Trade,Rural - Other,2018-09-07,19,75200.0,5,Female,463
BOR100150,Construction,Kisumu,2017-09-20,128,143300.0,18,Female,579
BOR100151,Agriculture,Rural - Other,2017-02-12,115,18600.0,18,Female,454
BOR100152,Construction,Nakuru,2026-08-28,34,18400.0,20,Male,820
BOR100153,Agriculture,Rural - Other,2017-03-10,121,88600.0,19,Female,456
BOR100154,Manufacturing,Mombasa,2020-03-17,12,72800.0,24,Male,506
BOR100155,Services,Kisumu,2020-08-03,43,82400.0,14,Male,506
BOR100156,Retail & Trade,Kisumu,2022-12-03,103,52900.0,7,Male,465
BOR100157,Services,Nairobi,2024-10-30,46,116400.0,21,Male,722
BOR100158,Services,Mombasa,2021-07-05,106,140500.0,7,Male,818
BOR100159,Transport & Logistics,Rural - Other,2023-11-04,127,102600.0,7,Female,557
BOR100160,Construction,Nakuru,2021-08-11,12,60900.0,20,Female,481
BOR100161,Services,Nairobi,2020-02-05,6,16700.0,22,Male,399
BOR100162,Manufacturing,Mombasa,2016-11-03,136,125300.0,9,Female,578
BOR100163,Manufacturing,Nairobi,2017-06-08,76,172000.0,18,Female,572
BOR100164,Manufacturing,Nairobi,2020-01-17,74,114800.0,23,Female,541
BOR100165,Transport & Logistics,Rural - Other,2015-07-16,68,39500.0,20,Female,620
BOR100166,Agriculture,Kisumu,2018-09-10,64,117200.0,1,Female,636
BOR100167,Agriculture,Mombasa,2020-05-25,100,133600.0,16,Female,629
BOR100168,Manufacturing,Nakuru,2020-07-06,85,217800.0,5,Male,572
BOR100169,Retail & Trade,Nairobi,2024-07-03,26,39600.0,21,Female,501
BOR100170,Retail & Trade,Nairobi,2026-04-16,91,62400.0,2,Male,660
BOR100171,Retail & Trade,Eldoret,2023-07-07,97,123400.0,24,Male,601
BOR100172,Transport & Logistics,Nakuru,2015-12-05,19,76100.0,5,Female,680
BOR100173,Transport & Logistics,Rural - Other,2019-10-08,56,33500.0,11,Male,671
BOR100174,Transport & Logistics,Nakuru,2023-07-08,115,97800.0,6,Male,472
BOR100175,Manufacturing,Kisumu,2021-12-09,90,109700.0,20,Male,471
BOR100176,Transport & Logistics,Rural - Other,2020-05-04,22,77800.0,10,Female,532
BOR100177,Retail & Trade,Rural - Other,2020-02-02,8,85300.0,18,Female,505
BOR100178,Construction,Eldoret,2019-09-26,85,61000.0,2,Female,668
BOR100179,Services,Rural - Other,2021-10-03,68,205800.0,11,Male,632
BOR100180,Construction,Rural - Other,2017-01-31,139,38900.0,22,Male,699
BOR100181,Retail & Trade,Rural - Other,2021-01-14,77,48500.0,23,Male,636
BOR100182,Manufacturing,Nairobi,2017-05-27,135,73700.0,6,Male,619
BOR100183,Transport & Logistics,Eldoret,2022-12-11,33,135300.0,10,Male,708
BOR100184,Manufacturing,Kisumu,2025-02-01,66,25600.0,10,Male,642
BOR100185,Manufacturing,Nakuru,2020-12-03,22,29200.0,14,Female,606
BOR100186,Retail & Trade,Nakuru,2019-07-10,84,17600.0,13,Male,733
BOR100187,Manufacturing,Rural - Other,2025-12-21,29,74800.0,3,Female,610
BOR100188,Agriculture,Rural - Other,2022-09-11,72,33400.0,19,Female,573
BOR100189,Agriculture,Mombasa,2019-12-29,51,55900.0,6,Female,525
BOR100190,Transport & Logistics,Eldoret,2015-05-03,29,116200.0,8,Male,663
BOR100191,Services,Eldoret,2015-03-09,16,46700.0,21,Female,711
BOR100192,Services,Mombasa,2017-08-01,75,86000.0,17,Female,595
BOR100193,Manufacturing,Nairobi,2017-10-04,137,59300.0,10,Female,718
BOR100194,Construction,Nairobi,2023-06-01,31,117100.0,22,Female,423
BOR100195,Retail & Trade,Rural - Other,2020-11-03,60,102000.0,10,Female,595
BOR100196,Manufacturing,Kisumu,2026-08-31,34,45100.0,14,Male,596
BOR100197,Retail & Trade,Rural - Other,2021-04-22,117,65000.0,6,Male,535
BOR100198,Manufacturing,Kisumu,2025-07-15,61,151800.0,5,Female,815
BOR100199,Construction,Rural - Other,2021-06-11,141,96300.0,12,Female,594
BOR100200,Manufacturing,Mombasa,2019-03-07,37,27500.0,14,Female,563
BOR100201,Construction,Rural - Other,2023-05-03,14,115700.0,20,Female,602
BOR100202,Manufacturing,Nairobi,2020-03-30,85,34200.0,10,Male,420
BOR100203,Transport & Logistics,Nakuru,2018-03-16,95,196600.0,22,Male,532
BOR100204,Manufacturing,Rural - Other,2020-07-09,143,149800.0,15,Male,688
BOR100205,Agriculture,Rural - Other,2022-10-04,126,89600.0,2,Female,543
BOR100206,Transport & Logistics,Rural - Other,2019-05-20,128,81600.0,18,Male,525
BOR100207,Construction,Nairobi,2023-03-19,93,63200.0,14,Female,718
BOR100208,Agriculture,Mombasa,2026-06-10,54,117600.0,10,Female,721
BOR100209,Transport & Logistics,Nairobi,2019-10-19,63,56400.0,12,Male,647
BOR100210,Agriculture,Nairobi,2018-06-11,21,86200.0,8,Male,559
BOR100211,Transport & Logistics,Eldoret,2019-09-10,64,134600.0,15,Male,578
BOR100212,Transport & Logistics,Eldoret,2024-10-11,54,49400.0,14,Male,528
BOR100213,Manufacturing,Rural - Other,2017-02-01,8,47500.0,11,Male,510
BOR100214,Transport & Logistics,Rural - Other,2026-05-11,32,31700.0,7,Male,506
BOR100215,Agriculture,Eldoret,2019-10-31,78,34700.0,10,Female,544
BOR100216,Retail & Trade,Rural - Other,2024-10-26,55,20300.0,12,Female,507
BOR100217,Retail & Trade,Nairobi,2024-03-06,144,121900.0,12,Female,459
BOR100218,Manufacturing,Nairobi,2024-02-21,70,259400.0,8,Female,620
BOR100219,Construction,Nakuru,2025-08-09,139,198300.0,14,Female,621
BOR100220,Retail & Trade,Rural - Other,2017-02-26,96,23400.0,6,Female,753
BOR100221,Manufacturing,Nairobi,2021-12-04,8,121500.0,13,Male,540
BOR100222,Transport & Logistics,Kisumu,2016-02-26,31,197900.0,3,Male,627
BOR100223,Agriculture,Eldoret,2018-06-29,103,53100.0,12,Male,628
BOR100224,Transport & Logistics,Nairobi,2015-06-22,80,78500.0,19,Female,577
BOR100225,Agriculture,Mombasa,2022-12-17,45,17900.0,20,Male,667
BOR100226,Transport & Logistics,Rural - Other,2022-02-02,77,88100.0,17,Female,670
BOR100227,Services,Eldoret,2023-08-20,131,34700.0,18,Female,629
BOR100228,Services,Nairobi,2017-01-20,58,84100.0,2,Female,577
BOR100229,Agriculture,Rural - Other,2018-11-16,9,24500.0,9,Female,568
BOR100230,Manufacturing,Mombasa,2022-11-21,47,106900.0,16,Female,477
BOR100231,Construction,Rural - Other,2024-08-22,135,149800.0,20,Male,527
BOR100232,Retail & Trade,Mombasa,2025-05-01,111,42300.0,14,Male,544
BOR100233,Transport & Logistics,Nakuru,2015-11-11,121,33000.0,21,Male,499
BOR100234,Manufacturing,Mombasa,2019-09-12,132,16200.0,7,Female,640
BOR100235,Transport & Logistics,Nairobi,2015-02-15,19,60700.0,4,Male,708
BOR100236,Services,Rural - Other,2024-07-19,43,48700.0,3,Male,518
BOR100237,Manufacturing,Nairobi,2016-06-07,11,24700.0,14,Female,626
BOR100238,Agriculture,Nairobi,2024-08-04,3,100400.0,16,Male,507
BOR100239,Services,Mombasa,2016-10-26,121,53400.0,7,Female,573
BOR100240,Retail & Trade,Eldoret,2015-03-07,136,34400.0,19,Female,538
BOR100241,Services,Rural - Other,2025-04-03,25,49600.0,18,Female,654
BOR100242,Retail & Trade,Rural - Other,2020-02-13,105,154800.0,9,Female,539
BOR100243,Services,Mombasa,2019-12-16,78,111500.0,6,Female,691
BOR100244,Services,Mombasa,2022-07-18,12,66800.0,18,Female,578
BOR100245,Retail & Trade,Nairobi,2018-03-17,133,112800.0,17,Female,542
BOR100246,Transport & Logistics,Nakuru,2023-01-22,126,32400.0,5,Male,487
BOR100247,Manufacturing,Rural - Other,2020-01-03,83,74800.0,7,Female,623
BOR100248,Transport & Logistics,Eldoret,2018-03-07,103,81100.0,12,Female,681
BOR100249,Retail & Trade,Nakuru,2019-08-10,59,52600.0,13,Female,625
BOR100250,Agriculture,Mombasa,2015-01-27,115,99200.0,4,Male,801
BOR100251,Manufacturing,Rural - Other,2018-07-08,66,42300.0,23,Male,729
BOR100252,Agriculture,Kisumu,2021-11-25,143,104500.0,10,Male,572
BOR100253,Agriculture,Nairobi,2016-08-10,11,107600.0,10,Female,571
BOR100254,Services,Mombasa,2016-05-20,27,15000.0,2,Female,642
BOR100255,Retail & Trade,Nairobi,2022-08-26,140,168300.0,22,Male,525
BOR100256,Transport & Logistics,Nairobi,2019-12-30,44,15000.0,6,Female,705
BOR100257,Retail & Trade,Nairobi,2016-08-05,47,47500.0,24,Male,633
BOR100258,Agriculture,Kisumu,2023-09-22,115,149900.0,12,Male,623
BOR100259,Services,Nakuru,2024-01-18,29,58600.0,21,Female,662
BOR100260,Transport & Logistics,Mombasa,2015-05-29,75,26200.0,5,Male,755
BOR100261,Agriculture,Kisumu,2017-05-09,43,34000.0,4,Male,615
BOR100262,Agriculture,Rural - Other,2019-04-28,31,150100.0,20,Female,590
BOR100263,Construction,Eldoret,2023-07-14,139,19100.0,20,Female,736
BOR100264,Construction,Nakuru,2015-11-12,31,161200.0,14,Female,687
BOR100265,Services,Mombasa,2024-05-25,16,70400.0,1,Male,571
BOR100266,Manufacturing,Rural - Other,2018-09-23,98,31700.0,23,Female,600
BOR100267,Manufacturing,Nairobi,2016-06-18,126,48600.0,10,Female,618
BOR100268,Services,Mombasa,2025-01-26,21,35900.0,23,Male,633
BOR100269,Services,Rural - Other,2016-01-05,103,134100.0,21,Female,478
BOR100270,Agriculture,Kisumu,2016-07-06,79,122100.0,21,Female,461
BOR100271,Retail & Trade,Eldoret,2026-01-29,120,22000.0,17,Male,520
BOR100272,Retail & Trade,Nakuru,2021-01-22,21,55100.0,17,Female,513
BOR100273,Construction,Nakuru,2020-05-27,141,40000.0,13,Female,542
BOR100274,Manufacturing,Mombasa,2023-01-07,90,180900.0,1,Female,657
BOR100275,Manufacturing,Nairobi,2022-05-09,122,28400.0,10,Female,585
BOR100276,Manufacturing,Mombasa,2022-02-27,54,224800.0,18,Female,618
BOR100277,Transport & Logistics,Nairobi,2015-04-10,136,71400.0,20,Male,490
BOR100278,Retail & Trade,Rural - Other,2021-06-08,91,32400.0,14,Male,558
BOR100279,Retail & Trade,Mombasa,2018-04-02,21,45500.0,18,Female,653
BOR100280,Agriculture,Nakuru,2024-06-03,134,41700.0,1,Male,654
BOR100281,Manufacturing,Rural - Other,2020-11-23,116,30000.0,12,Male,535
BOR100282,Transport & Logistics,Rural - Other,2016-06-11,45,78100.0,13,Male,615
BOR100283,Manufacturing,Kisumu,2025-05-04,80,31000.0,22,Male,798
BOR100284,Manufacturing,Kisumu,2018-04-26,58,15900.0,8,Male,598
BOR100285,Construction,Rural - Other,2018-03-02,80,56100.0,6,Male,538
BOR100286,Retail & Trade,Eldoret,2025-12-03,140,20700.0,9,Female,584
BOR100287,Services,Rural - Other,2024-01-17,130,43200.0,5,Male,608
BOR100288,Services,Rural - Other,2025-01-10,33,38700.0,14,Female,586
BOR100289,Manufacturing,Rural - Other,2022-09-22,140,39700.0,16,Female,597
BOR100290,Transport & Logistics,Nairobi,2025-08-15,65,296800.0,20,Male,470
BOR100291,Agriculture,Nakuru,2016-05-06,103,76100.0,24,Female,513
BOR100292,Construction,Nairobi,2021-12-31,111,86800.0,2,Female,587
BOR100293,Agriculture,Nakuru,2018-06-04,71,21100.0,6,Female,585
BOR100294,Services,Rural - Other,2019-08-25,67,46300.0,8,Female,549
BOR100295,Services,Kisumu,2017-10-10,67,85000.0,6,Male,584
BOR100296,Construction,Kisumu,2017-05-23,125,35700.0,20,Male,605
BOR100297,Manufacturing,Nairobi,2020-02-29,57,138100.0,4,Female,680
BOR100298,Agriculture,Rural - Other,2025-09-17,42,31500.0,1,Female,591
BOR100299,Retail & Trade,Nairobi,2022-05-31,54,59800.0,21,Female,636
BOR100300,Manufacturing,Nairobi,2019-01-28,30,48500.0,24,Female,551
BOR100301,Transport & Logistics,Nairobi,2020-01-21,58,82000.0,6,Male,651
BOR100302,Retail & Trade,Nairobi,2021-03-07,19,46700.0,8,Male,634
BOR100303,Construction,Kisumu,2017-11-07,15,60500.0,13,Female,678
BOR100304,Services,Kisumu,2021-01-29,105,62000.0,13,Female,664
BOR100305,Retail & Trade,Mombasa,2023-02-13,13,43700.0,24,Male,653
BOR100306,Agriculture,Nairobi,2017-11-02,83,102700.0,10,Male,591
BOR100307,Services,Nairobi,2021-10-26,113,86400.0,1,Female,622
BOR100308,Agriculture,Mombasa,2023-04-07,105,68700.0,11,Female,696
BOR100309,Retail & Trade,Nairobi,2021-01-21,66,54100.0,14,Female,541
BOR100310,Services,Eldoret,2018-05-29,30,127700.0,13,Male,543
BOR100311,Transport & Logistics,Nairobi,2021-06-20,135,62000.0,13,Female,616
BOR100312,Retail & Trade,Mombasa,2024-04-02,121,59000.0,23,Female,637
BOR100313,Agriculture,Mombasa,2017-08-03,89,78700.0,20,Male,526
BOR100314,Agriculture,Mombasa,2021-09-14,15,239800.0,7,Male,593
BOR100315,Services,Nairobi,2022-12-09,7,28600.0,9,Female,592
BOR100316,Transport & Logistics,Nairobi,2018-10-01,47,125400.0,17,Female,401
BOR100317,Transport & Logistics,Rural - Other,2019-07-10,25,19400.0,10,Female,580
BOR100318,Construction,Nairobi,2025-05-15,125,85100.0,11,Male,586
BOR100319,Transport & Logistics,Kisumu,2019-03-29,32,220300.0,5,Female,586
BOR100320,Agriculture,Kisumu,2021-12-24,43,103000.0,7,Male,727
BOR100321,Retail & Trade,Mombasa,2016-09-30,141,82400.0,18,Male,491
BOR100322,Services,Kisumu,2025-10-20,119,49400.0,21,Male,526
BOR100323,Construction,Rural - Other,2021-12-18,34,74700.0,19,Male,365
BOR100324,Construction,Rural - Other,2023-11-14,57,61300.0,8,Female,557
BOR100325,Agriculture,Nairobi,2022-01-11,76,42200.0,4,Female,564
BOR100326,Agriculture,Mombasa,2019-02-23,97,59700.0,4,Male,554
BOR100327,Retail & Trade,Nairobi,2018-12-21,135,84000.0,10,Female,700
BOR100328,Retail & Trade,Kisumu,2023-03-07,126,42700.0,13,Female,677
BOR100329,Services,Eldoret,2025-01-11,141,41600.0,22,Female,607
BOR100330,Services,Nairobi,2016-06-27,8,28200.0,22,Female,567
BOR100331,Manufacturing,Mombasa,2024-11-11,36,96100.0,1,Female,692
BOR100332,Agriculture,Rural - Other,2024-09-06,82,107100.0,17,Male,598
BOR100333,Transport & Logistics,Nairobi,2016-04-09,9,86000.0,8,Male,526
BOR100334,Manufacturing,Kisumu,2016-04-05,53,143700.0,5,Male,446
BOR100335,Transport & Logistics,Eldoret,2023-02-09,24,77800.0,14,Male,560
BOR100336,Construction,Nairobi,2024-10-31,135,96200.0,1,Female,668
BOR100337,Agriculture,Nairobi,2019-08-06,11,90500.0,9,Male,805
BOR100338,Agriculture,Nairobi,2022-06-22,24,68600.0,14,Female,606
BOR100339,Construction,Rural - Other,2026-08-30,30,50400.0,7,Female,531
BOR100340,Services,Nairobi,2018-10-07,24,344500.0,15,Male,493
BOR100341,Agriculture,Nairobi,2017-08-16,83,53300.0,12,Female,650
BOR100342,Services,Nairobi,2026-07-27,54,45900.0,20,Female,441
BOR100343,Services,Nairobi,2018-04-10,132,99100.0,5,Female,650
BOR100344,Construction,Nakuru,2020-07-06,40,87200.0,2,Female,674
BOR100345,Agriculture,Nairobi,2020-02-27,79,27400.0,13,Female,639
BOR100346,Construction,Nakuru,2021-02-07,96,160500.0,7,Male,580
BOR100347,Construction,Nakuru,2018-02-18,91,68500.0,17,Male,651
BOR100348,Agriculture,Rural - Other,2022-12-03,116,33600.0,3,Female,615
BOR100349,Retail & Trade,Nairobi,2023-01-27,31,168100.0,14,Male,530
